"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id","capture_id","delta_weight","delta_time"
"1",2005,162116343,2005-06-10 00:00:00,2005-06-10 14:27:20,104,30.0799999237061,57.2000007629395,31.8999996185303,146,NA,NA,1,2,"162116343_2005",NA,NA
"2",2005,162116343,2005-06-23 00:00:00,2005-06-23 15:08:21,102.5,NA,NA,NA,NA,NA,NA,1,2,"162116343_2005",-1.5,1125661
"3",2005,162116346,2005-06-14 00:00:00,2005-06-14 21:27:28,102,29.6000003814697,56.7999992370605,28.8999996185303,147,NA,NA,1,2,"162116346_2005",NA,NA
"4",2005,162116346,2005-06-27 00:00:00,2005-06-27 21:00:38,99,NA,NA,NA,NA,NA,NA,1,2,"162116346_2005",-3,1121590
"5",2005,162116351,2005-06-14 00:00:00,2005-06-14 17:37:06,95,30.2000007629395,57.7000007629395,29.1000003814697,142.5,NA,NA,1,2,"162116351_2005",NA,NA
"6",2005,162116351,2005-06-25 00:00:00,2005-06-25 18:34:01,93,NA,NA,NA,NA,NA,NA,1,2,"162116351_2005",-2,953815
"7",2005,162116366,2005-06-15 00:00:00,2005-06-15 21:17:37,99,29.5,56.4500007629395,30.5,146,NA,NA,1,3,"162116366_2005",NA,NA
"8",2005,162116366,2005-06-23 00:00:00,2005-06-23 14:53:00,103.5,NA,NA,NA,NA,NA,NA,1,3,"162116366_2005",4.5,668123
"9",2005,162116366,2005-06-27 00:00:00,2005-06-27 22:28:55,104,NA,NA,NA,NA,NA,NA,1,3,"162116366_2005",0.5,372955
"10",2005,162116367,2005-06-10 00:00:00,2005-06-10 15:14:09,99.5,28.7999992370605,55.7999992370605,27.7999992370605,138,NA,NA,1,2,"162116367_2005",NA,NA
"11",2005,162116367,2005-06-23 00:00:00,2005-06-23 17:34:19,100,NA,NA,NA,NA,NA,NA,1,2,"162116367_2005",0.5,1131610
"12",2005,162116372,2005-06-16 00:00:00,2005-06-16 17:47:11,96,29.5,56.5999984741211,29.2999992370605,141.5,NA,NA,1,2,"162116372_2005",NA,NA
"13",2005,162116372,2005-06-23 00:00:00,2005-06-23 22:32:43,83,NA,NA,NA,NA,NA,NA,1,2,"162116372_2005",-13,621932
"14",2005,162116388,2005-06-16 00:00:00,2005-06-16 18:00:59,85,26.1499996185303,53.0999984741211,29.2000007629395,145,NA,NA,1,2,"162116388_2005",NA,NA
"15",2005,162116388,2005-06-16 00:00:00,2005-06-16 20:38:38,92.5,NA,NA,NA,NA,NA,NA,1,2,"162116388_2005",7.5,9459
"16",2005,198103101,2005-06-16 00:00:00,2005-06-16 22:31:52,106.5,29.6000003814697,56.4000015258789,30.5,147,NA,NA,1,2,"198103101_2005",NA,NA
"17",2005,198103101,2005-06-19 00:00:00,2005-06-19 22:57:45,108,NA,NA,NA,NA,NA,NA,1,2,"198103101_2005",1.5,260753
"18",2005,198103110,2005-06-20 00:00:00,2005-06-20 20:42:24,97,29.1000003814697,56.7000007629395,29,138,NA,NA,1,2,"198103110_2005",NA,NA
"19",2005,198103110,2005-06-27 00:00:00,2005-06-27 23:17:23,86,NA,NA,NA,NA,NA,NA,1,2,"198103110_2005",-11,614099
