"","year_","ID","capdt","gpsdt","weight","culmen","totalHead","tarsus","wing","thr_width","thr_height","sex","n_by_id"
"1",2004,162116043,2004-06-27 00:00:00,2004-06-27 00:00:00,97.5,28.5,56.5999984741211,31.1499996185303,145,NA,NA,1,1
"2",2004,162116045,2004-07-03 00:00:00,2004-07-03 00:00:00,101,28.2999992370605,55.5999984741211,28.2999992370605,139,NA,NA,1,1
"3",2004,162116048,2004-07-01 00:00:00,2004-07-01 00:00:00,100,31.9599990844727,58.4599990844727,31.2000007629395,147,NA,NA,1,1
"4",2004,162116050,2004-06-28 00:00:00,2004-06-28 00:00:00,97,28.5400009155273,54.2999992370605,30.4599990844727,145,NA,NA,1,1
"5",2004,162116051,2004-07-03 00:00:00,2004-07-03 00:00:00,100,27.6000003814697,54.4599990844727,29,139,NA,NA,1,1
"6",2004,162116053,2004-06-30 00:00:00,2004-06-30 00:00:00,100,29.0799999237061,56.1599998474121,27.9599990844727,140,NA,NA,1,1
"7",2004,162116054,2004-06-30 00:00:00,2004-06-30 00:00:00,74,30.2800006866455,57.1699981689453,29.4500007629395,141,NA,NA,1,1
"8",2004,162116057,2004-06-25 00:00:00,2004-06-25 00:00:00,97,32.2400016784668,58.2400016784668,29.7199993133545,142,NA,NA,1,1
"9",2004,162116060,2004-06-24 00:00:00,2004-06-24 00:00:00,99,29.7999992370605,56.7400016784668,30,149,NA,NA,1,1
"10",2004,162116066,2004-06-26 00:00:00,2004-06-26 00:00:00,85.5,29.5599994659424,55.7400016784668,30,141,NA,NA,1,1
"11",2004,162116067,2004-06-23 00:00:00,2004-06-23 00:00:00,105,31.3999996185303,59.4000015258789,29.7000007629395,147.5,NA,NA,1,1
"12",2004,162116070,2004-06-26 00:00:00,2004-06-26 00:00:00,102.5,30.25,56.5,28.4599990844727,142.5,NA,NA,1,1
"13",2004,162116072,2004-06-22 00:00:00,2004-06-22 00:00:00,97,28,55.0999984741211,30.5499992370605,148,NA,NA,1,1
"14",2004,162116073,2004-06-21 00:00:00,2004-06-21 00:00:00,100,30.5499992370605,58,31,144,NA,NA,1,1
"15",2004,162116076,2004-06-20 00:00:00,2004-06-20 00:00:00,103,28.7000007629395,55,30.5499992370605,148.5,NA,NA,1,1
"16",2004,162116078,2004-06-20 00:00:00,2004-06-20 00:00:00,107,30,58,31.75,147,NA,NA,1,2
"17",2004,162116078,2004-06-20 00:00:00,2004-06-20 00:00:00,93,NA,NA,NA,NA,NA,NA,1,2
"18",2004,162116079,2004-06-20 00:00:00,2004-06-20 00:00:00,109,27.7999992370605,55.2000007629395,31.25,143,NA,NA,1,1
"19",2004,162116080,2004-06-20 00:00:00,2004-06-20 00:00:00,100,27.5,54.5,30.75,143,NA,NA,1,1
"20",2004,162116081,2004-06-20 00:00:00,2004-06-20 00:00:00,101,30.0499992370605,58,30.2000007629395,143,NA,NA,1,2
"21",2004,162116081,2004-06-30 00:00:00,2004-06-30 00:00:00,92.5,NA,NA,NA,NA,NA,NA,1,2
"22",2004,162116082,2004-06-20 00:00:00,2004-06-20 00:00:00,101,30.6000003814697,57.5499992370605,30.25,146,NA,NA,1,1
"23",2004,162116083,2004-06-20 00:00:00,2004-06-20 00:00:00,103,30.1200008392334,57.7599983215332,30.7999992370605,142,NA,NA,1,1
"24",2004,162116086,2004-06-19 00:00:00,2004-06-19 00:00:00,108,28.8999996185303,55.9000015258789,31.6499996185303,143,NA,NA,1,1
"25",2004,162116087,2004-06-19 00:00:00,2004-06-19 00:00:00,102,28.6499996185303,51.3499984741211,30.1000003814697,151,NA,NA,1,1
"26",2004,162116088,2004-06-19 00:00:00,2004-06-19 00:00:00,100,29.2999992370605,57.5999984741211,29.2999992370605,141,NA,NA,1,1
"27",2004,162116089,2004-06-19 00:00:00,2004-06-19 00:00:00,88,27.1499996185303,54.4000015258789,28.8999996185303,139,NA,NA,1,1
"28",2004,162116095,2004-06-17 00:00:00,2004-06-17 00:00:00,96,28,55.25,28.5499992370605,143.5,NA,NA,1,1
"29",2004,162116097,2004-06-17 00:00:00,2004-06-17 00:00:00,96,32.7000007629395,59.2000007629395,29.8999996185303,140,NA,NA,1,1
"30",2005,1,2005-06-27 00:00:00,2005-06-27 23:29:34,89,29,55.9500007629395,28.2999992370605,139,NA,NA,1,1
"31",2005,162116324,2005-06-09 00:00:00,2005-06-09 20:36:29,112,29.1000003814697,55,28.6000003814697,143,NA,NA,1,1
"32",2005,162116330,2005-06-09 00:00:00,2005-06-09 01:07:12,102,30.2999992370605,56.4000015258789,29.5,145,NA,NA,1,1
"33",2005,162116333,2005-06-09 00:00:00,2005-06-09 01:07:12,94.5,28.1000003814697,54.5999984741211,29.2999992370605,139,NA,NA,1,1
"34",2005,162116334,2005-06-09 00:00:00,2005-06-09 00:17:28,104.5,29.7999992370605,55.4000015258789,29.0499992370605,140,NA,NA,1,1
"35",2005,162116336,2005-06-09 00:00:00,2005-06-09 19:31:25,84,NA,58,28.3999996185303,141,NA,NA,1,1
"36",2005,162116339,2005-06-15 00:00:00,2005-06-15 19:23:00,99,29.7999992370605,56.9000015258789,30.7999992370605,142,NA,NA,1,1
"37",2005,162116340,2005-06-09 00:00:00,2005-06-09 16:07:12,77,NA,52.25,28.7999992370605,140,NA,NA,1,1
